regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,3,edge_flip_vem,,,293,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.0072745163924992085,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,3,edge_flip_spectral,,,,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.01591838337481022,0.0,0.01687060110270977,8.733188230894638e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,3,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11895575374364853,0.006786409765481949,0.1094987615942955,0.0016253935596492839
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,3,edge_flip_vem,,,225,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.007000755984336138,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,3,edge_flip_spectral,,,,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.03209064528346062,0.0,0.031548868864774704,0.009431007311823763
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,3,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11552862077951431,0.006747276987880468,0.11320522427558899,0.0026022041230555366
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,3,edge_flip_vem,,,371,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.0030309082940220833,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,3,edge_flip_spectral,,,,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.06650174409151077,0.0,0.0469290129840374,0.003414552136645118
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,3,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11283497512340546,0.006536583416163921,0.11735015362501144,0.009431007311823763
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,4,edge_flip_vem,,,197,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007285169791430235,0.0,0.0,0.0
